charity_id,charity_name,charity_mission,charity_url,category_id,category_name,sub_category,work_type,state,city,latitude,longitude,minage,maxage,accountability_score,financial_score,overall_score,total_contributions
183,DAV (Disabled American Veterans) Charitable Service Trust,"The DAV (Disabled American Veterans) Charitable Service Trust supports physical and psychological rehabilitation programs that provide direct service to ill, injured, or wounded veterans. Programs supported by the Trust target several groups of physically and psychologically injured veterans. Programs supported by the Trust typically include: providing food, shelter and other necessary items to homeless or at-risk veterans; accessibility or mobility items for veterans with vision or hearing impairments; therapeutic activities; physical and psychological activities for rehabilitation; and other forms of direct service for veterans and their families.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7589,5,Human Services ,Human Services ,Social Services,KY,Cold Spring,37.66814,-84.670067,31,43,96,97.5,96.66,8377507
184,Danita's Children,"Founded by Danita Estrella-Watts in 1999, Danita's Children/Hope for Haiti Children's Center rescues and cares for orphaned and impoverished children in Ouanaminthe Haiti, meeting their needs spiritually, physically, academically, emotionally. Located in the northeastern area of Haiti, currently Danita's Children is home to more than 100 orphans. A school provides an education to nearly 500 children and 18,000 meals are fed each month through the feeding program. A church provides spiritual hope to the community through a congregation of 500 people. The Danita's Children's Medical Center currently under construction will provide for the medical needs of children in northeastern Haiti and the surrounding region.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10397,1,International ,International ,Development and Relief Services,TN,Franklin,35.747845,-86.692345,31,43,93,90,91.36,1522358
185,Daniel Pitino Shelter,"The Daniel Pitino Shelter was organized in 1993 with the expressed purpose of creating emergency and transitional housing for the growing number of homeless persons in Owensboro-Daviess County region. The Shelter is a non-denomination organization which offers both emergency and transitional housing, provides nutritional food, primary physical and mental health care, essential services, and educational enhancement including life skills, legal aid sources, and computer training within the same building. The Supportive Housing Program (SHP) serves as a safe and secure place, a sanctuary for homeless families, where the healing process can begin, rehabilitation directed, and independent living guided.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15378,5,Human Services ,Human Services ,Homeless Services,KY,Owensboro,37.66814,-84.670067,31,43,82,86.44,84.06,1530823
186,Dane County Humane Society,"Dane County Humane Society (DCHS) serves south central Wisconsin in the areas of animal intake and care, medical services, education, adoption and outreach. Our services and programs include: a nationally recognized ringworm treatment program and other cutting-edge shelter medicine programs; innovative partnerships with area veterinary clinics, the University of Wisconsin School of Veterinary Medicine, and the University of California-Davis Shelter Medicine Program; and summer camps and other education programs for children.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5311,2,Animals and Environment,Animals ,"Animal Rights, Welfare, and Services",WI,Madison,44.268543,-89.616508,31,43,96,83.34,87.88,2778301
187,Danforth Art,"Established as a grass roots organization in 1975 by a committed group of citizens, the Danforth Museum of Art, now called Danforth Art, has grown to become a vital cultural resource. Danforth Art provides visitors with entertaining and educational experiences in the visual arts and educates the public through its collection of American art, changing exhibits of contemporary artists, classes and workshops in the School, and a variety of community outreach programs. Danforth Art envisions its future as a nationally recognized leader among community museums and art education centers, with an outstanding collection of American art, as well as exhibitions and programs that engage, inspire and transform the lives of children and adults.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15569,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Museums,MA,Framingham,42.230171,-71.530106,44,100,89,72.5,79.05,741481
189,Dance/USA,"The national service organization for professional dance, Dance/USA sustains and advances professional dance by addressing the needs, concerns, and interests of artists, administrators and organizations. By providing services and national leadership, Dance/USA enhances the infrastructure for dance creation, education and dissemination. We envision a future in which dance is an enduring and sought-after art form, recognized by all as an important part of America's rich and diverse culture. To this end, Dance/USA will serve as the national hub for dance-related information, leadership, advocacy, and service.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9264,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Performing Arts,DC,Washington,38.897438,-77.026817,44,100,89,86.93,87.92,2868733
190,Daniel Murphy Scholarship Fund,"The Daniel Murphy Scholarship Foundation (DMSF) was founded in 1989 to enrich the lives of Chicago youth by providing them with educational opportunities they would otherwise be unable to access. DMSF's mission is to provide bright, economically disadvantaged Chicago students with four-year high school scholarships and wraparound academic and social emotional support services to in order to ensure they are properly prepared for college. DMSF works to ensure that financial constraints do not hinder a young person's ability to obtain a quality education and offers access to programming, mentoring, and guidance to excel in high school and matriculate to college.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7819,4,Health and Education,Education ,Scholarship and Financial Support,IL,Chicago,40.349457,-88.986137,44,100,97,83.04,87.82,5048263
191,Dance Theatre of Harlem,"Founded in 1969 by Arthur Mitchell and Karel Shook, Dance Theatre of Harlem is a leading dance institution of unparalleled global acclaim, encompassing a ""Classically American"" dance company, a leading arts education center and Dancing Through Barriers, a national and international education and community outreach program. Each component of Dance Theatre of Harlem carries a solid commitment towards enriching the lives of young people and adults around the world through the arts. Now in its fifth decade, Dance Theatre of Harlem has grown into a multi-cultural dance institution with an extraordinary legacy of providing opportunities for creative expression and artistic excellence that continues to set standards in the performing arts.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6726,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Performing Arts,NY,New York,42.165726,-74.948051,17,30,85,82.57,83.73,1604251
192,Dance Exchange,"Founded in 1976, Liz Lerman Dance Exchange is a professional company of dance artists that creates, performs, teaches, and engages people in making art. Liz Lerman Dance Exchange pursues a broad definition of dance as a multi-disciplinary art form that encompasses movement, music, imagery, and the spoken word. Throughout its programs, Liz Lerman Dance Exchange builds an accessible body of knowledge and makes meaningful connections between people and art. The company's activities include: groundbreaking new dance works performed by a cross-generational company; classes, workshops, and institutes; and local and national projects that engage individuals, institutions and communities in making and performing dances.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9842,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Performing Arts,MD,Takoma Park,39.063946,-76.802101,31,43,81,68.45,73.95,250389
193,Dana-Farber Cancer Institute,"Founded in 1947, Dana-Farber Cancer Institute provides expert, compassionate care to children and adults with cancer while advancing the understanding, diagnosis, treatment, cure, and prevention of cancer and related diseases. Since 1948, the Jimmy Fund has supported the fight against cancer in children and adults at the Dana-Farber Cancer Institute, helping to raise the chances of survival for cancer patients around the world. The Institute employs about 4,000 people supporting more than 250,000 patient visits a year, is involved in some 700 clinical trials, and is internationally renowned for its blending of research and clinical excellence.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3597,4,Health and Education,Health ,Medical Research,MA,Boston,42.230171,-71.530106,31,43,93,92.24,92.61,453735920
194,Damon Runyon Cancer Research Foundation,"To accelerate breakthroughs, the Damon Runyon Cancer Research Foundation provides today's best young scientists with funding to pursue innovative cancer research. We support emerging leaders who have great potential to achieve breakthroughs in how we diagnose, treat and prevent cancer. Our goals are to: Identify the best and brightest early career scientists in cancer research; Accelerate the translation of scientific discoveries into new diagnostic tools and treatments; Enable risk taking on bold new ideas. Since 1946, the Foundation has invested over $250 million in more than 3,350 of the best and brightest scientists in the nation.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4948,4,Health and Education,Health ,Medical Research,NY,New York,42.165726,-74.948051,17,30,100,95,96.46,10509030
195,The Damien Center,"The Damien Center provides comprehensive services to approximately 1,300 persons living with or affected by HIV/AIDS in Central Indiana and actively advocates for just and compassionate responses to their needs. Necessary client services such as case management, housing and employment opportunities as well as client enrichment services such as client events and support groups help clients move forward in their lives with dignity. The Damien Center's prevention department provides HIV/STD testing, comprehensive risk counseling and outreach education.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14674,4,Health and Education,Health ,Patient and Family Support,IN,Indianapolis,39.849426,-86.258278,31,43,89,94.45,91.28,5235015
196,Dan Marino Foundation,"The Dan Marino Foundation was established in 1992 by Dan and Claire Marino, motivated by their experiences in raising their son, Michael, who is diagnosed with autism. The Foundation's mission is ""empowering individuals with autism and other developmental disabilities through therapies, research, education, and employment in pursuit of a greater quality of life."" For over 20 years, the Foundation has served individuals with disabilities in South Florida and raised more than $45 million to create unique and impactful initiatives in the community. Among these ""first-of-their-kind"" initiatives were the Miami Children's Hospital Dan Marino Center, Childnett.tv, the Marino Autism Research Institute, Marino Adapted Aquatics, Summer STEPS Employment Programs, and now, opening in 2014, Marino Campus.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13928,4,Health and Education,Health ,"Diseases, Disorders, and Disciplines",FL,Ft. Lauderdale,27.766279,-81.686783,31,43,92,95,93.32,2501707
197,Dallas Zoological Society,"The Dallas Zoological Society works to support the Dallas Zoo as an outstanding center of education, entertainment and wildlife conservation. The Society supports this mission through: fundraising; volunteerism; promoting public awareness and participation; and enhancing the visitor experience. We exist to broaden support for worldwide conservation efforts by creating an environment which allows our community and visitors to experience dramatic, engaging and diverse presentations for the living plant and animal world through excellent animal management, solid conservation science (research) and dynamic educational programs.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3596,2,Animals and Environment,Animals ,Zoos and Aquariums,TX,Dallas,31.054487,-97.563461,17,30,89,96.67,91.87,10431551
198,Dallas Theater Center,"The Dallas Theater Center will engage, entertain, and inspire our diverse community by creating experiences that stimulate new ways of thinking and living. We will do this by consistently producing plays, educational programs, and other initiatives that are of the highest quality and reach the broadest possible constituency.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9689,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Performing Arts,TX,Dallas,0,0,0,100,89,81.32,84.67,5696247
199,Dallas Symphony Orchestra,"The mission of the Dallas Symphony Orchestra (DSO) is to entertain, inspire and change lives through musical excellence. It strives to be a key catalyst in making Dallas a world-class city and major cultural center with the DSO as a landmark. With roots tracing back to 1900, the DSO offers numerous events highlighting diversity in the city, numbering over 165 each year. As a community partner, the DSO sponsors the following programs: Community Connections, free tickets distributed by social service agencies; Young Strings, providing free instruments and music lessons to students; Symphony YES, providing ensembles that perform in area schools; DSO Kids, educational website for children and teachers; and My DSO, a free concert for adults and children with Autism and developmental disabilities. The DSO is a community of passionate music lovers making more music lovers.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11700,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ","Performing Arts ,This rating represents consolidated financial data for these organizations",TX,Dallas,31.054487,-97.563461,17,30,89,93.34,90.9,29367295
200,The Dallas Opera,"Since its glittering, 1957 inaugural concert with the legendary Maria Callas, The Dallas Opera has made a national and international name for itself by discovering new world-class talents and enhancing the careers of important artists, directors and designers. As The Dallas Opera enters its 51st international season, the future has never looked brighter. The current leadership has plans to guide the company through its 50th Anniversary Celebrations and into our new home in the Margot and Bill Winspear Opera House at The Dallas Center for Performing Arts. The Dallas Opera is scheduled to open its 2009-2010 Season in the new Winspear Opera House, where it will be the resident company.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5702,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Performing Arts,TX,Dallas,31.054487,-97.563461,31,43,100,87.42,91.1,15504411
201,Dallas Museum of Art,"Established in 1903, the Dallas Museum of Art (DMA) Museum collects, preserves, presents, and interprets works of art of the highest quality from diverse cultures and many centuries, including that of our own time. We champion the power of art, embracing our responsibility to engage and educate our community, to contribute to cultural knowledge, and to advance creative endeavor. DMA features an outstanding collection of more than 23,000 works of art from around the world, from ancient to modern times.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3594,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Museums,TX,Dallas,31.054487,-97.563461,17,30,90,78.81,83.43,17480878
202,Dallas Life Foundation,"Opened in 1954 as the Dallas Rescue Mission, the Dallas Life Foundation is designed to meet the needs of homeless men, women, children and families in the Dallas metropolis. For over 50 years now we have had a profound impact on thousands of people as we reach out with kind, compassionate Christian love toward those in desperate need. Dallas Life Foundation has developed a series of programs designed to help those assisted to return to a productive role in society. Each program targets a different group of Dallas Life Foundation residents. Programs are available to each resident once a referral has been made through our intake case management staff.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10144,5,Human Services ,Human Services ,Homeless Services,TX,Dallas,31.054487,-97.563461,31,43,93,96.27,94.39,3157593
203,Dallas Contemporary,"Dallas Contemporary is a non-collecting art museum presenting new and challenging ideas from regional, national and international artists. The institution is committed to engaging the public through exhibitions, lectures, educational programs and events. Dallas Contemporary is committed to providing a seamless experience for all of our visitors. Accessible parking for vehicles displaying appropriate permits is available at our main entrance, adjacent to the museum's entrance ramp. All of the museum's galleries are accessible by wheelchair.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17459,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Performing Arts,TX,Dallas,31.054487,-97.563461,44,100,89,79.37,83.46,1823446
204,Dallas Area Habitat for Humanity,"Dallas Area Habitat for Humanity is a Christian ministry that builds quality, affordable homes in partnership with deserving families. Since our incorporation in 1986, Dallas Habitat has built over 850 homes and served as a catalyst for the revitalization of 20 communities. Dallas Area Habitat for Humanity provides affordable housing opportunities to families no other nonprofit or private mortgage lender in Dallas is able to serve. Qualified families are required to provide 400 hours of 'sweat equity' in lieu of a down payment, which is fulfilled by building their own home and the homes of other Habitat families. This hands-on participation builds new skills, a sense of tremendous accomplishment, and strong relationships with their neighbors.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8707,5,Human Services ,Community Development ,Housing and Neighborhood Development,TX,Dallas,31.054487,-97.563461,31,43,88,85,86.41,8032425
205,Dalit Freedom Network,"The Dalit Freedom Network is a human rights, non-government organization that partners with the Dalit people in India in their quest for freedom, justice, and human dignity by mobilizing human, intellectual, and financial resources.  

We represent a vast network of justice-minded, modern-day abolitionists committed to freedom for India's ""untouchables."" We believe we can end Dalit injustices, such as human trafficking and child labor, and make slavery history in India.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11649,1,International ,International ,"International Peace, Security, and Affairs",VA,Virginia Beach,37.769337,-78.169968,44,100,71,79.98,75.08,1680288
206,The Dallas Arboretum and Botanical Society,"Our MissionThe mission of the Dallas Arboretum and Botanical Garden is to build and maintain a public venue that promotes the art, enjoyment and knowledge of horticulture, while providing opportunities for education and research. We are committed to excellence, good management and fiscal responsibility. The Dallas Arboretum Today More than 900,000 visitors from over 70 countries came through our gates in 2012. The Arboretum has been listed among the top three arboretums in the nation in Southwest Spirit Magazine and one of the Best Botanical Gardens in the US by the Travel Channel. The Dallas Arboretum is proud to offer the public an array of popular annual events, educational programs for children and adults, and an emphasis on family-oriented activities. Ground-breaking horticultural research conducted in our Trial Gardens continues to contribute to an important body of knowledge, both regionally and nationally. Located on the shores of White Rock Lake, the Arboretum's 66",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3593,2,Animals and Environment,Environment ,"Botanical Gardens, Parks, and Nature Centers",TX,Dallas,31.054487,-97.563461,17,30,89,91.47,90.15,12692681
207,Dakota Indian Foundation,"Dakota Indian Foundation was founded in 1971 because of the concern for the plight of the Dakota Sioux Indian and to find some means to assist them and preserve their history and culture. The Foundation grants funds to groups and organizations throughout the former Great Sioux Nation to support a wide variety of activities directly related to the social enhancement and cultural preservation of the Dakota Sioux Indian People, such as: the publication of texts which preserve and teach the language and culture; preschool tuition and post-High School scholarships; distribution of clothing, bedding and books on the reservations; and a facility to house, preserve and display examples of the Indian culture.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8767,5,Human Services ,Human Services ,Social Services,SD,Chamberlain,44.299782,-99.438828,17,30,77,0,27.44,521186
208,Dakin Humane Society,"Dakin Humane Society delivers effective, innovative services that improve the lives of animals in need and the people who care about them. Dakin is a private, non-profit organization serving the communities of Franklin, Hampshire and Hampden counties. Many of our programs also serve animals and people in Worcester and Berkshire counties, as well as northern Connecticut. The philosophy of Dakin Humane Society is as much about preventing animal homelessness as it is about providing homes. We believe that providing safe haven, while an important piece of our mission, is but one part of it.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14088,2,Animals and Environment,Animals ,"Animal Rights, Welfare, and Services",MA,Springfield,42.230171,-71.530106,17,30,96,86.43,89.99,1575748
209,CURE Childhood Cancer,"Founded in 1975, CURE Childhood Cancer is dedicated to conquering childhood cancer through funding targeted research and through supporting patients and their families. Since its establishment as a grass-roots organization, CURE has focused its efforts on improving the care, quality of life, and survival rate of children with cancer. The founders, parents and a dedicated pediatric oncologist, joined forces to support laboratory research that would translate into immediate care for children with cancer. Since that time, CURE has raised millions of dollars to fund cutting edge research at the Aflac Cancer Center Blood Disorders Service at Children's Healthcare of Atlanta, Emory University School of Medicine and other top pediatric cancer research institutions - focusing on projects which are likely to have a clinical or therapeutic impact within five years. Through innovative programming, CURE also provides support for patients and their families.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9601,4,Health and Education,Health ,Medical Research,GA,Atlanta,33.040619,-83.643074,17,30,96,95,95.47,5078775
210,Cure Alzheimer's Fund,"Cure Alzheimer's Fund was established to fund targeted research with the highest probability of slowing, stopping or reversing Alzheimer's disease through venture based philanthropy.  All organizational expenses are paid for by the Founders and Board, allowing all other contributions to be applied directly to Alzheimer's Disease research. Our foundational research is focused on identifying all the genes and gene mutations that are linked to Alzheimer's Disease. We can then use this genetic information to reliably predict, early in life, those at greatest risk for the disease (with legal safeguards and genetic and psychological counseling). Our foundational research projects include: Alzheimer's Genome Project, Alzheimer's Genome Map, Alzheimer's Brain-Genetic Study, Alzheimer's Clinical-Genetic Study, Alzheimer's Gene Database, MicroRNA's and APP, and Alzheimer's Gene Discovery Project.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12603,4,Health and Education,Health ,Medical Research,MA,Wellesley Hills,42.230171,-71.530106,17,30,100,97.5,98.23,16220862
212,D.A.R.E. America,"The D.A.R.E. (Drug Abuse Resistance Education) program was founded in 1983 by the Los Angeles Police Department, and quickly spread throughout the United States. The overwhelming success and demand for the program led to the creation of D.A.R.E. America. D.A.R.E. is a unique, reliable, and effective system of delivering science- and evidence-based learning to students, in kindergarten through 12th grade, about avoiding substance abuse and other high-risk behaviors, such as bullying and gangs. D.A.R.E. learning is conducted in schools, during class, by seasoned and specially trained law enforcement officers, who have the experience and stature to credibly teach D.A.R.E. curricula. D.A.R.E. is implemented in over 70% of the nation's school districts and in 43 countries around the world. D.A.R.E. is the largest youth drug prevention program in the world.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3591,4,Health and Education,Health ,Treatment and Prevention Services,CA,Inglewood,36.116203,-119.681564,44,100,96,62.5,73.33,8464127
213,D.E.L.T.A. Rescue (Dedication and Everlasting Love to Animals),"Dedication and Everlasting Love to Animals (D.E.L.T.A.) reaches over three million people a year to educate them with regard to the plight of animals, and to encourage them not to abandon their pets. We rescue abandoned animals and care for over 1,500 of them at the largest animal rescue sanctuary in the world, and we also support rescue programs outside of the United States. In addition, we develop, produce, and distribute documentary, instructional and feature projects. These projects are meant to increase global awareness of the plight of animals, to teach specific skills regarding animal care, and to encourage individual to rescue and care for animals.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3603,2,Animals and Environment,Animals ,"Animal Rights, Welfare, and Services",CA,Glendale,36.116203,-119.681564,17,30,68,98.96,77.36,9007338
214,Cultural Survival,"Cultural Survival was founded in response to the opening up of the Amazonian and South American hinterlands during the 1960s, and the drastic effects this had on indigenous inhabitants. It has since worked with indigenous communities in Asia, Africa, South America, North America, and Australia, becoming the leading US-based organization defending the rights of indigenous peoples around the world. Our efforts are guided by a board of directors that includes some of the world's preeminent indigenous leaders, as well as anthropologists, philanthropists, and entrepreneurs, and our executive director is a renowned human rights lawyer. Headquartered in Cambridge, Massachusetts, Cultural Survival also has a satellite office for our Guatemala Radio Project in Guatemala.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10875,5,Human Services ,Human and Civil Rights ,Advocacy and Education,MA,Cambridge,42.230171,-71.530106,31,43,96,76.71,83.29,1109778
215,The Cummer Museum of Art & Gardens,"The Cummer Museum of Art & Gardens, opened in 1961, is the largest fine arts museum in northeast Florida. With more than 6,000 objects in its permanent collection, The Cummer offers art and artifacts from the ancient world as well as tapestries, porcelain, paintings and sculptures from the Middle Ages through the 20th century. The Museum is home to a highly regarded collection of European masters and American impressionists, a world-renowned collection of 18th century Meissen porcelain, and more than two-and-one half acres of historic gardens along the St. Johns River. Art Connections, the Museum's nationally recognized education center, provides hands-on art experiences for visitors of all ages. The Cummer's unique blend of art, gardens, and education inspires imagination and excitement making the museum the premier cultural institution in the Southeast region.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10862,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Museums,FL,Jacksonville,27.766279,-81.686783,17,30,100,80.69,86.34,3812003
216,D.C. Central Kitchen,"DC Central Kitchen uses food as a tool to strengthen bodies, empower minds, and build communities. Since our founding in 1989, DC Central Kitchen has prepared 27 million meals for our low-income neighbors in Washington, DC - but don't mistake us for a soup kitchen.The 5,000 meals we prepare each day are distributed at little or no cost to 80 homeless shelters, transitional homes, and nonprofit organizations, saving them money and nourishing their clients.Most importantly, we're working to shorten DC's line of hungry people by the way we're feeding it. In our main kitchen, we offer a rigorous Culinary Job Training program for unemployed men and women who want to replace homelessness, addiction, and incarceration with new careers and changed lives. Our graduates have averaged a 90% job placement rate during the recession, and we now employ 60 graduates in social enterprises that create living wage jobs, serve healthy food, and earn the majority of our annual revenue.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16707,5,Human Services ,Human Services ,"Social Services ,This rating represents consolidated financial data for these organizations",DC,Washington,38.897438,-77.026817,17,30,100,88.38,91.78,8108391
218,D.C. Bar Pro Bono Center,"The D.C. Bar Pro Bono Center recruits, trains and mobilizes volunteer attorneys to take pro bono cases serving individuals living in poverty who are at risk of losing their homes, their livelihoods, and their families. The Center also helps small businesses and community-based non-profits needing legal help. Last year, the Pro Bono Center touched the lives of nearly 17,000 D.C. residents.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12330,5,Human Services ,Human and Civil Rights ,Advocacy and Education,DC,Washington,38.897438,-77.026817,17,30,96,92.43,93.94,2649303
219,The CT Challenge,"The CT Challenge empowers cancer survivors to live healthier, happier and longer lives by creating and funding unique survivorship programs and research. The vision of the CT Challenge is linked to our deep history of blending sports with a passion for supporting cancer patients and survivors. By building community support through first class events such as the CT Challenge Charity bike event, our goal is to provide avenues to attract energetic people who share our mission to empower cancer survivors to live healthier, happier and longer lives.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13894,4,Health and Education,Health ,Patient and Family Support,CT,Southport,41.597782,-72.755371,17,30,73,94.77,80.55,2471513
220,Curamericas Global,"Curamericas Global partners with underserved communities to make measurable and sustainable improvements in their health and well-being. Formerly known as Andean Rural Health Care, Curamericas Global was created in 1983 with the goal of establishing primary health care programs that are responsive to the health needs of the community, improving child survival within the community, and building the national and local capacity of health service providers. Curamericas Global works in Guatemala and Liberia and plans to start a project in Sierra Leone in 2015. All Curamericas Global's programs focus on teaching prevention and also help to establish health clinics in areas of desperate need.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10431,1,International ,International ,Development and Relief Services,NC,Raleigh,35.630066,-79.806419,17,30,92,72.07,79.45,1334386
221,Crystal Peaks Youth Ranch,"Crystal Peaks Youth Ranch (CPYR) exists to Rescue the Equine, Mentor the Child, offer Hope for the Family and Empower the Ministry. They provide a safe and positive experience for children and families to learn about the saving hope of Jesus Christ in an authentic western environment. Currently, Crystal Peaks serves between four to five thousand visitors a year with 25-30 horses rescued from violent abuse or life threatening neglect. Although the primary focus of the ranch is to serve disadvantaged children, the program is available for any child. The only true prerequisite for kids visiting the ranch is that they WANT to participate. A desire to come is an indication of a heart willing to try. It is from this willingness that broken hearts and lives can be lead toward healing.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12855,5,Human Services ,Human Services ,"Youth Development, Shelter, and Crisis Services",OR,Bend,44.572021,-122.070938,31,43,58,94.61,70.05,3480103
222,Cumberland Presbyterian Children's Home,"Founded in 1904 Cumberland Presbyterian Children's Home (CPCH) serves children and families by providing healing and hope. CPCH is one agency with interrelated services, including residential care and non-residential care. Residential care comprises of a children's emergency shelter, children's residential and single parent families residential centers. Whereas non-residential care consists of community counseling and classes. At Cumberland Presbyterian Children's Home, children and families find healing and hope.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15402,5,Human Services ,Human Services ,Children's and Family Services,TX,Denton,31.054487,-97.563461,44,100,78,92.59,83.58,708088
223,The Crystal Charity Ball,"Since 1952, the sole purpose of The Crystal Charity Ball has been to aid, support and make contributions to children's charities in Dallas County. As an organization independent of any national affiliation, members of The Crystal Charity Ball Committee have raised more than $143 million for more than 140 worthy beneficiaries over the past 65 years. In 2018, the 100 active members of The Crystal Charity Ball Committee committed to raise $6,501,105. These funds will support eight commendable Dallas organizations and give children hope for a healthier more productive future.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7892,5,Human Services ,Human Services ,Children's and Family Services,TX,Dallas,31.054487,-97.563461,17,30,78,94.82,84.01,8748941
224,Crown Point Community Foundation,"The Crown Point Community Foundation is an endowment builder, a grant maker and a community connector. The Foundation works with donors to create charitable endowments that provide grants to our community. The Crown Point Community Foundation helps you make good things happen, today, tomorrow and long into the future. CPCF's mission is enriching the quality of life in South Lake County.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17343,5,Human Services ,Community Development ,Community Foundations,IN,Crown Point,39.849426,-86.258278,31,43,92,78.28,83.63,1163719
226,Crosstown Learning Center,"At Crosstown Learning Center, we are proud of our excellent reputation for providing quality care in a creative learning environment. Our curriculum provides us opportunities to have on-going assessments of our children, through documentation; lesson planning that is geared specifically to the individual child and offers opportunities for parents to become involved in their child's learning. We are also offering parent education programs, which meet once a month to discuss parenting issues.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15490,5,Human Services ,Human Services ,Children's and Family Services,OK,Tulsa,35.565342,-96.928917,31,43,89,99.74,92.21,954031
227,Crow Canyon Archaeological Center,"Founded in 1983, the Crow Canyon Archaeological Center is dedicated to understanding, teaching, and helping to preserve the rich history of the ancestral Pueblo people (also called the Anasazi) of the American Southwest. We conduct long-term archaeological research into the ancestral Pueblo Indians of the American Southwest, with a focus on the Mesa Verde region in southwestern Colorado. We also teach the public about archaeology, history, and culture through a variety of hands-on experiences.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14355,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ","Libraries, Historical Societies and Landmark Preservation",CO,Cortez,39.059811,-105.311104,31,43,92,82.7,86.52,2482280
228,Crosswinds Youth Services,"Crosswinds Youth Services (CYS) creates opportunities for young people to succeed, embodies our organization's primary goal of helping young people strengthen skills, develop leadership abilities, and reach their full potential. CYS began in the 1970s with a group of concerned community leaders who came together to discuss how Brevard County could respond to the increasing number of runaway and homeless youth in the community. Over the years, Crosswinds has grown to include a wide range of programs and services for young people and their families. Our programs include shelters, counseling, intervention and supervision, education, family therapy, transitional living, independent living, and community centers.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11337,5,Human Services ,Human Services ,Children's and Family Services,FL,Cocoa,27.766279,-81.686783,17,30,93,85,88.29,3268216
229,Crossroads Urban Center,"Crossroads Urban Center helps to organize low income, disabled, and minority Utahns to be advocates on their own behalf in addressing essential issues affecting the quality of their lives. We also provide direct services to help meet basic survival needs. We are part of a tradition of service in the Salt Lake area that goes back to 1881. When Crossroads was formed in 1966, an emergency food pantry and thrift store quickly emerged as focal points for community involvement. Crossroads has initiated and developed dozens of new community organizations to provide services not otherwise available in our community.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10460,5,Human Services ,Human Services ,Social Services,UT,Salt Lake City,40.150032,-111.862434,17,30,100,88.42,91.81,1588398
